"","liveness","danceability","energy","key","loudness","mode","ArtistName","speechiness","acousticness","instrumentalness","valence","tempo","duration_ms","DateIndex","time_signature","MaxPosition","Track.Name","minPosition","lCountOnCharts","TrackPopularity","CountOnCharts","lSumChartStreams","ldurationms"
"525",0.305,0.581,0.28,4,-9.091,0,"The Beatles",0.0381,0.936,1.56e-05,0.821,137.831,126533,228,4,180,"Eleanor Rigby - Remastered 2009",170,0.693147180559945,56,2,13.0637889025996,11.7482584226944
"530",0.276,0.65,0.758,8,-5.021,1,"Muse",0.0507,0.000259,0.000492,0.61,100.005,262947,38,4,166,"Dead Inside",135,1.38629436111989,62,4,13.7256788439241,12.4797077699393
"532",0.617,0.623,0.956,4,-2.608,0,"Fall Out Boy",0.0753,0.119,0.000227,0.718,149.958,211573,110,4,200,"Uma Thurman",145,4.66343909411207,68,106,16.9039236484849,12.2623253715809
"533",0.251,0.79,0.705,0,-4.684,0,"Kungs",0.0383,0.0807,4.81e-05,0.498,121.969,195561,470,4,168,"This Girl (Kungs Vs. Cookin' On 3 Burners)",13,5.31320597904179,80,203,19.5207380247829,12.1836276301997
"534",0.0862,0.524,0.786,0,-5.832,1,"Mumford & Sons",0.0458,0.00478,0.00301,0.566,144.089,218627,5,4,173,"Ditmas",124,0.693147180559945,59,2,12.9750181545007,12.2951223603637
"535",0.088,0.675,0.479,0,-9.87,0,"James Blunt",0.0278,0.633,1.76e-05,0.458,81.998,209493,276,4,182,"You're Beautiful",182,0,76,1,12.3952291242705,12.2524456048983
"537",0.174,0.685,0.746,1,-4.928,0,"Selena Gomez",0.0843,0.124,0,0.525,124.889,246400,152,4,200,"Revival",151,1.09861228866811,55,3,13.4130190243979,12.4147115106415
"538",0.233,0.736,0.879,9,-3.782,0,"Major Lazer",0.0696,0.0369,0.000736,0.765,107.976,166138,330,4,117,"Light It Up (feat. Nyla & Fuse ODG) - Remix",8,5.89989735358249,80,365,20.0765189308527,12.0205740472804
"539",0.141,0.586,0.759,0,-3.212,1,"Avicii",0.0475,0.0404,2.63e-05,0.551,127.01,278480,8,4,199,"The Days",137,3.52636052461616,61,34,15.704043832344,12.5371015224853
"541",0.364,0.791,0.679,6,-6.879,1,"ZHU",0.0511,0.0129,0.0921,0.713,121.993,230720,128,4,195,"Automatic",167,0.693147180559945,16,2,13.009067011575,12.3489601330787
"542",0.477,0.458,0.597,11,-9.919,0,"Jamie xx",0.22,0.12,0,0.488,89.455,213622,40,4,190,"I Know There's Gonna Be (Good Times)",132,2.30258509299405,65,10,14.5978405479138,12.2719633770191
"543",0.0789,0.509,0.637,4,-4.83,0,"Rihanna",0.0471,0.0717,1.08e-05,0.385,172.006,224000,270,3,188,"Love On The Brain",188,0,73,1,12.4053537395797,12.3194013308372
"544",0.172,0.799,0.518,4,-9.459,1,"The Game",0.235,0.023,0,0.372,108.036,343077,58,4,200,"100 (feat. Drake)",147,1.38629436111989,66,4,13.6239649904828,12.7457101907499
"546",0.133,0.653,0.594,11,-8.43,0,"kent",0.0256,0.000413,0.0299,0.652,109.993,245587,306,4,193,"Egoist",193,0,16,1,12.4062136552791,12.4114065422581
"547",0.0486,0.506,0.817,11,-5.051,0,"Panic! At The Disco",0.0335,0.00272,0,0.48,109.952,208707,247,4,198,"House Of Memories",192,1.09861228866811,69,3,13.4689316202647,12.2486866334707
"549",0.114,0.67,0.729,1,-4.529,0,"Halsey",0.0708,0.248,0,0.55,146.02,204785,111,4,154,"Hold Me Down",154,0,55,1,12.4104532688735,12.2297159272776
"550",0.0652,0.565,0.73,1,-4.54,1,"Nate Ruess",0.031,0.0879,0,0.413,82.058,236773,32,4,198,"Nothing Without Love",128,3.13549421592915,52,23,15.4010436124478,12.3748571552209
"551",0.0822,0.764,0.428,0,-12.075,0,"Louane",0.0404,0.0698,0.000272,0.652,113.983,185280,177,4,198,"Avenir - Radio Edit",163,1.6094379124341,61,5,13.9148127590381,12.1296234733668
"553",0.105,0.726,0.662,5,-6.243,0,"Maluma",0.153,0.178,0,0.726,175.946,217920,170,4,199,"Borro Cassette",168,1.09861228866811,10,3,13.3815225109229,12.2918833019433
"556",0.241,0.759,0.564,11,-6.873,0,"Krept & Konan",0.263,0.0164,0,0.497,94.996,225060,72,4,200,"Freak Of The Week",133,2.19722457733622,56,9,14.443286337305,12.324122312304
"557",0.279,0.394,0.203,4,-11.74,1,"Rihanna",0.0293,0.635,0.000182,0.385,135.073,72080,270,4,184,"James Joint",184,0,31,1,12.4155025937566,11.1855318922822
"558",0.17,0.57,0.779,2,-6.174,1,"Steve Aoki",0.0468,0.0185,2.49e-05,0.442,128.022,192658,12,4,172,"I Love It When You Cry (Moxoki) - Radio Edit",125,0.693147180559945,49,2,13.0077445802608,12.1686718752757
"559",0.417,0.655,0.516,5,-6.978,0,"Various Artists",0.0356,0.0247,1.58e-06,0.118,85.98,159087,163,4,200,"One Last Time",150,2.19722457733622,16,9,14.517731447633,11.9772065013709
"560",0.0601,0.818,0.67,8,-4.451,0,"Ed Sheeran",0.0472,0.304,1.22e-06,0.939,119.988,235382,1,4,198,"Sing",115,4.21950770517611,72,68,16.4828924332941,12.3689650052942
"561",0.428,0.875,0.527,1,-7.328,1,"Meek Mill",0.187,0.104,0,0.26,111.07,175040,58,4,166,"I Got The Juice",143,1.09861228866811,55,3,13.4351721145737,12.0727697982158
"562",0.085,0.793,0.853,1,-3.655,1,"Plan B",0.0477,0.0937,0,0.898,164.022,240320,135,4,200,"Fanática Sensual",153,4.43081679884331,64,84,16.6903641969358,12.3897266475579
"563",0.124,0.747,0.621,4,-9.115,0,"Drake",0.394,0.653,0,0.311,89.282,253935,136,4,144,"30 for 30 Freestyle",144,0,54,1,12.4195617422155,12.4448336077395
"565",0.438,0.604,0.549,1,-9.873,1,"The Beatles",0.0389,0.531,0,0.684,111.398,158880,228,4,174,"Yellow Submarine - Remastered",174,0,52,1,12.4197596240726,11.975904479279
"566",0.107,0.739,0.717,5,-4.76,0,"Gwen Stefani",0.0473,0.0423,1.86e-05,0.809,118.027,216948,279,4,200,"Make Me Like You",198,0.693147180559945,8,2,13.1072213127943,12.28741297247
"569",0.128,0.543,0.629,7,-6.841,0,"Robin Schulz",0.0855,0.0339,0,0.272,121.955,216409,155,4,192,"Yellow",169,1.38629436111989,61,4,13.6843728695711,12.2849254147384
"570",0.0632,0.562,0.752,2,-5.409,1,"David Bowie",0.0314,0.00283,0,0.507,95.966,182293,242,4,181,"Valentine's Day",181,0,0,1,12.423169955108,12.1133705616849
"571",0.129,0.516,0.397,7,-6.988,1,"Selena Gomez",0.0302,0.629,0,0.161,126.902,249080,148,4,198,"Camouflage",171,0.693147180559945,22,2,13.0447174617952,12.4255294089864
"573",0.366,0.576,0.766,10,-4.943,0,"Desiigner",0.449,0.028,1.68e-06,0.25,144.833,246761,428,4,90,"Panda",7,4.95582705760126,78,142,19.0324889724936,12.416175535836
"574",0.114,0.553,0.721,11,-4.835,0,"Rihanna",0.0508,0.00124,0,0.411,91.983,225147,286,4,197,"Diamonds",195,1.09861228866811,71,3,13.5143527610888,12.3245088011906
"577",0.0488,0.741,0.488,8,-8.253,1,"iLoveMemphis",0.362,0.000235,0,0.624,160.018,181081,191,4,199,"Hit the Quan - Original Version",175,1.94591014905531,66,7,14.2849590331405,12.1066997239557
"580",0.307,0.459,0.587,9,-6.983,1,"Jonas Blue",0.0785,0.453,0,0.564,113.901,212424,330,4,188,"Fast Car - Radio Edit",10,5.82894561761021,82,340,19.9298372159166,12.2663395563168
"581",0.098,0.585,0.668,6,-3.816,1,"Avicii",0.0306,0.0217,1.16e-05,0.299,137.981,245813,141,4,171,"Ten More Days",171,0,50,1,12.4312980283287,12.4123263632428
"582",0.25,0.518,0.892,11,-4.249,1,"Panic! At The Disco",0.221,0.0027,0,0.608,160.117,180267,249,4,196,"Hallelujah",163,0.693147180559945,53,2,13.0483938572042,12.1021943641535
"583",0.347,0.528,0.866,11,-5.96,0,"X Ambassadors",0.0831,0.0123,0.0388,0.554,89.989,194587,12,4,188,"Renegades",122,3.2188758248682,16,25,15.4785081944927,12.1786346428027
"584",0.0996,0.737,0.78,10,-5.32,0,"Robin Thicke",0.0746,0.0983,0,0.811,117.899,224307,100,4,147,"Back Together",141,1.09861228866811,50,3,13.4992877115709,12.3207709282246
"585",0.062,0.538,0.894,8,-4.477,1,"5 Seconds of Summer",0.0536,0.000943,0,0.786,159.99,214680,162,4,187,"Castaway",181,0.693147180559945,42,2,13.0769663500296,12.2769038262908
"587",0.133,0.315,0.889,0,-8.192,1,"David Bowie",0.041,0.000376,0.00241,0.961,181.329,288467,242,4,180,"Modern Love - 1999 Remastered Version",180,0,63,1,12.4393130516159,12.5723359736392
"588",0.102,0.48,0.718,7,-5.461,1,"Coldplay",0.0603,0.0485,0.000343,0.258,163.987,405320,214,4,183,"Up&Up",183,0,75,1,12.439507063768,12.9124321575623
"591",0.194,0.493,0.901,4,-5.158,1,"AC/DC",0.035,0.000139,0.0112,0.242,133.513,292880,58,4,175,"Thunderstruck",137,1.09861228866811,1,3,13.440641093033,12.5875182477941
"592",0.353,0.598,0.606,0,-11.812,1,"Lynyrd Skynyrd",0.0256,0.162,0.000357,0.909,97.736,287173,62,4,125,"Sweet Home Alabama",125,0,14,1,12.4422785121303,12.5678401005948
"595",0.121,0.716,0.647,1,-4.008,1,"Travis Scott",0.0345,0.119,1.38e-05,0.159,131.04,263817,114,4,167,"Antidote",161,1.09861228866811,69,3,13.4690956564605,12.4830109599487
